State,Name,Subname,Stats 55% 100%,HP 55%,HP 100%,ATK 55%,ATK 100%,DEF 55%,DEF 100%,Leader Skill,Passive Skill,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date,Ki Multiplier,DMG Multiplier
Base,Super Saiyan 2 Vegeta,Indomitable Fighting Spirit,"HP 16,644 19,244 | ATK 18,717 22,117 | DEF 11,060 14,060","16,644","19,244","18,717","22,117","11,060","14,060","""Super Saiyan 2"" or ""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +170%","Will for a Serious Fight Ki +2 and ATK & DEF +150% Reduces damage received by 30% Plus an additional ATK boost by up to 120% (the more HP remaining, the greater the ATK boost) and if HP is 50% or more, great chance of launching an additional Super Attack Plus an additional DEF boost by up to 120% (the less HP remaining, the greater the DEF boost) and if HP is 50% or less, guards all attacks Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is another ""Majin Buu Saga"" Category ally attacking in the same turn or a ""Majin Buu Saga"" Category enemy Plus an additional damage reduction of 20% with a Rainbow Ki Sphere obtained ATK & DEF +120% when attacking with 3 or more Ki Spheres obtained Receives a boost from Babidi's sorcery when conditions are met",,Raises ATK & DEF for 1 turn and causes immense damage to enemy,,"Saiyan Warrior Race, Super Saiyan, Saiyan Pride, Royal Lineage, Prepared for Battle, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Vegeta's Family, Super Saiyan 2, Power Beyond Super Saiyan, Uncontrollable Power, Corroded Body and Mind, Mastered Evolution, Worthy Rivals, Gifted Warriors, Resurrected Warriors","Receives a boost from Babidi's sorcery when facing only 1 enemy, whose HP is 50% or more, starting from the 3rd turn from the start of battle","Dec 10, 2024",150%,630%
Base,Golden Metal Cooler,Golden Overheated Power,"HP 12,564 15,164 | ATK 10,636 13,636 | DEF 6,958 10,358","12,564","15,164","10,636","13,636","6,958","10,358","""Crossover"" Category Ki +3 and HP, ATK & DEF +150%","Overheated Awakening ATK & DEF +200%, plus an additional ATK & DEF +80% if HP is 50% or more, when performing a Super Attack Launches an additional attack that has a great chance of becoming a Super Attack Reduces damage received by 20% Ki +1 (up to +5) plus an additional ATK +40% (up to 200%) and an additional damage reduction of 8% (up to 40%) per ""Crossover"" Category ally on the team Character's Super Attack will be sealed if HP is 20% or less at start of turn",,Greatly raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Strongest Clan in Space, Auto Regeneration, Fusion, Deficit Boost, Shocking Speed, Cold Judgment, Shattering the Limit","Artificial Life Forms, Wicked Bloodline, Transformation Boost, Full Power, Corroded Body and Mind, Resurrected Warriors, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",145%,430%
Base,Dark King Fu,Awakening Through Dark Factor,"HP 13,015 16,015 | ATK 9,729 13,129 | DEF 7,604 10,204","13,015","16,015","9,729","13,129","7,604","10,204","""Battle of Wits"" Category Ki +3 and HP, ATK & DEF +130%","Dark King's Universe Creation ATK & DEF +150% Plus an additional ATK & DEF +150% when performing a Super Attack Extreme Class allies' ATK & DEF +30% Randomly changes Ki Spheres of a certain Type (STR excluded) to STR Ki Spheres when there are another 3 or more ""Crossover"" Category allies on the team Plus an additional ATK +100% with a STR Ki Sphere obtained Chance of evading enemy's attack (including Super Attack) +10% (up to 50%) and Extreme Class allies' Ki +1 (up to +5) plus an additional ATK & DEF +4% (up to 20%) per STR or Rainbow Ki Sphere obtained (whichever Ki Sphere is collected more will be counted)",,"Raises DEF for 1 turn, causes supreme damage to enemy and seals Super Attack",,"Demonic Power, Brainiacs, Cold Judgment, Big Bad Bosses, Godly Power, Fear and Faith, Fierce Battle","Realm of Gods, Demonic Power, Time Travelers, Battle of Wits, Accelerated Battle, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,430%
Base,Super Saiyan God SS Vegeta (Berserk Controlled),Saiyans' True Nature,"HP 12,502 15,102 | ATK 10,017 13,417 | DEF 7,501 10,501","12,502","15,102","10,017","13,417","7,501","10,501","""Crossover"" Category Ki +3 and HP, ATK & DEF +130%","Investigating the True Nature of Saiyans Ki +3 and ATK & DEF +180% Medium chance of performing a critical hit Plus an additional ATK & DEF +50% and chance of performing a critical hit +10% per ""Dragon Ball Heroes"" Category ally (self excluded) attacking in the same turn Plus an additional ATK & DEF +40% with each Super Attack performed (up to 120%) Plus an additional ATK +120% and chance of performing a critical hit +50% when facing only 1 enemy at start of turn Launches an additional Super Attack and high chance of evading enemy's attack (including Super Attack) when facing 2 or more enemies",,"Raises DEF for 1 turn, disables enemy's guard and causes supreme damage to enemy",,"Saiyan Warrior Race, Prodigies, Super Saiyan, Royal Lineage, Saiyan Pride, Prepared for Battle, Fierce Battle","Pure Saiyans, Vegeta's Family, Power Beyond Super Saiyan, Realm of Gods, Miraculous Awakening, Worthy Rivals, Bond of Parent and Child, Siblings' Bond, Bond of Master and Disciple, Gifted Warriors, Time Travelers, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,430%
Base,Crimson Masked Saiyan (Super Saiyan Rosé 3),Evolved Immortal Body,"HP 11,989 15,389 | ATK 9,934 12,934 | DEF 7,860 10,460","11,989","15,389","9,934","12,934","7,860","10,460","""Dragon Ball Heroes"", ""Super Saiyan 3"" or ""Transformation Boost"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Crossover"" Category","Pursuit of Greater Power Ki +3 and ATK & DEF +180% Plus an additional ATK & DEF +150% when attacking High chance of guarding all attacks Plus an additional DEF +100% and guards all attacks when there are another 3 or more ""Crossover"" Category allies on the team Launches an additional attack that has a great chance of becoming a Super Attack when there is an enemy whose name includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded) Transforms when conditions are met",,"Raises ATK, raises DEF for 1 turn and causes immense damage to enemy",,"Brutal Beatdown, Super Saiyan, Godly Power, Prepared for Battle, Nightmare, Fear and Faith, Fierce Battle","Super Saiyan 3, Power Beyond Super Saiyan, Transformation Boost, Realm of Gods, Full Power, Power of Wishes, Corroded Body and Mind, Time Travelers, Inhuman Deeds, Accelerated Battle, Crossover, Dragon Ball Heroes",Transforms starting from the 5th turn from the start of battle,"Nov 22, 2023",150%,475%
Transformation,Crimson Masked Saiyan (Super Saiyan Rosé Full Power),Evolved Immortal Body,"HP 11,989 15,389 | ATK 9,934 12,934 | DEF 7,860 10,460","11,989","15,389","9,934","12,934","7,860","10,460","""Dragon Ball Heroes"", ""Super Saiyan 3"" or ""Transformation Boost"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Crossover"" Category","Increasing the Limit Recovers 40% HP (once only) and from the next turn onward, recovers 15% HP at start of turn Ki +4 and ATK & DEF +200% Plus an additional ATK & DEF +150% when attacking Raises ATK & DEF by up to 150% (the more HP remaining, the greater the stat boost) Guards all attacks Launches an additional attack that has a high chance of becoming a Super Attack and if there is an enemy whose name includes ""Super Saiyan God SS"", launches another additional attack that has a great chance of becoming a Super Attack",,Raises ATK & DEF for 1 turn and causes immense damage to enemy,,"Brutal Beatdown, Super Saiyan, Godly Power, Prepared for Battle, Nightmare, Fear and Faith, Fierce Battle","Super Saiyan 3, Power Beyond Super Saiyan, Transformation Boost, Realm of Gods, Full Power, Power of Wishes, Corroded Body and Mind, Time Travelers, Inhuman Deeds, Accelerated Battle, Crossover, Dragon Ball Heroes",,"Nov 22, 2023",150%,505%
Base,Super Full Power Saiyan 4 Limit Breaker Broly,Brutal Devil's Battle Instinct,"HP 11,783 14,783 | ATK 9,811 12,811 | DEF 8,117 11,117","11,783","14,783","9,811","12,811","8,117","11,117","""Time Travelers"" Category Ki +3 and HP, ATK & DEF +130%","Limit-Breaking Devil Ki +3 and ATK & DEF +200% Plus an additional ATK & DEF +100% when attacking Launches an additional attack that has a high chance of becoming a Super Attack Launches an additional Super Attack when facing 2 or more enemies Launches another additional attack that has a great chance of becoming a Super Attack when there is a ""Fused Fighters"" Category enemy",,Raises DEF for 4 turns and causes supreme damage to enemy,,"Brutal Beatdown, Saiyan Warrior Race, Super Saiyan, Prepared for Battle, Nightmare, Saiyan Roar, Fierce Battle","Pure Saiyans, Power Beyond Super Saiyan, Full Power, Giant Ape Power, Uncontrollable Power, Time Travelers, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",150%,430%
Base,Super Full Power Saiyan 4 Limit Breaker Vegito (Xeno),Fused Fighter Who Surpasses All,"HP 10,962 13,562 | ATK 10,427 13,427 | DEF 7,758 11,158","10,962","13,562","10,427","13,427","7,758","11,158","""Dragon Ball Heroes"", ""Giant Ape Power"" or ""Fused Fighters"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Crossover"" Category","Sword That Cuts Through Darkness Activates the Entrance Animation upon the character's entry (once only) and chance of performing a critical hit +30% and reduces damage received by 30% for 6 turns from the character's entry turn Ki +3 and ATK & DEF +200% Plus an additional ATK & DEF +150% when performing a Super Attack Plus an additional ATK & DEF +100% and great chance of launching an additional Super Attack when there is another ""Giant Ape Power"" or ""Crossover"" Category ally attacking in the same turn or a ""Giant Ape Power"" or ""Crossover"" Category enemy Chance of performing a critical hit +40% and reduces damage received by 30% when all allies attacking in the same turn are ""Giant Ape Power"" or ""Crossover"" Category characters Animations: Entry","Active Skill Galactic Eternal Sword Condition: Can be activated when all allies attacking in the same turn are ""Crossover"" Category characters starting from the 3rd turn from the start of battle, or starting from the 6th turn from the start of battle (once only) Greatly raises ATK temporarily, causes ultimate damage to enemy and, within the turn activated, all attacks become critical hits Animation: Ultimate Special",Raises ATK for 1 turn and causes immense damage to enemy,,"Super Saiyan, Shocking Speed, Prepared for Battle, Power Bestowed by God, Fused Fighter, Saiyan Roar, Fierce Battle","Power Beyond Super Saiyan, Potara, Fused Fighters, Full Power, Giant Ape Power, Time Limit, Final Trump Card, Time Travelers, Defenders of Justice, Battle of Wits, Accelerated Battle, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",160%,505%
Base,Lagss,Fate of the Universal Conflict in Her Hands,"HP 10,534 12,334 | ATK 10,338 12,138 | DEF 7,920 9,720","10,534","12,334","10,338","12,138","7,920","9,720","""Dragon Ball Heroes"" Category Ki +3 and HP, ATK & DEF +77%; or INT Type Ki +3 and HP, ATK & DEF +50%","Pure Loyalty ATK & DEF +160% Plus an additional ATK & DEF +80% when performing a Super Attack Medium chance of evading enemy's attack (including Super Attack) Ki +2 plus an additional chance of evading enemy's attack (including Super Attack) +20% when there are another 2 or more ""Dragon Ball Heroes"" Category allies on the team Plus an additional ATK +80% if the target enemy's HP is 80% or less when attacking and if that target enemy's HP is 50% or less when attacking, launches an additional attack that has a great chance of becoming a Super Attack Chance of performing a critical hit +10% (up to 50%) every time the character attacks an enemy who is in ""ATK Down"" status, in ""DEF Down"" status, stunned or the target enemy's Super Attack is sealed",,"Raises ATK & DEF for 1 turn, causes supreme damage to enemy, lowers ATK & DEF and seals Super Attack",,"The Innocents, Solid Support, Cold Judgment, Battlefield Diva, Loyalty, Shattering the Limit","Peppy Gals, Resurrected Warriors, Space-Traveling Warriors, Time Travelers, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,530%
Base,Demon God Dabura (Xeno),Returning Demon Lord,"HP 16,701 19,301 | ATK 14,010 17,010 | DEF 7,798 11,198","16,701","19,301","14,010","17,010","7,798","11,198","""Dragon Ball Heroes"" Category Ki +4 and HP, ATK & DEF +150%","Demon Lord to a Demon God Ki +3 and ATK & DEF +150% Plus an additional ATK & DEF +150%, attacked enemy's ATK & DEF -35% for 2 turns and launches an additional attack that has a high chance of becoming a Super Attack when facing only 1 enemy Plus an additional ATK +150% when the target enemy is in ""ATK Down"" or ""DEF Down"" status Plus an additional ATK +50% and reduces damage received by 10% per existing enemy (count starts from the 3rd enemy), plus an additional ATK +100% and DEF +200% and high chance of evading enemy's attack (including Super Attack) when facing 2 or more enemies",,Greatly raises DEF for 1 turn and causes immense damage with a high chance of stunning the enemy,,"Loyalty, Shocking Speed, Brutal Beatdown, Master of Magic, Nightmare, Fear and Faith, Shattering the Limit","Demonic Power, Siblings' Bond, Time Travelers, Dragon Ball Seekers, Terrifying Conquerors, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,630%
Base,Super Mira,Mastery of Dark Power,"HP 12,620 15,620 | ATK 15,034 18,434 | DEF 8,193 10,793","12,620","15,620","15,034","18,434","8,193","10,793","""Dragon Ball Heroes"" Category or Extreme STR Type Ki +3 and HP, ATK & DEF +130%","Cold Stare ATK +200% and DEF +100% Disables enemy's guard Plus an additional ATK & DEF +50% when performing a Super Attack Ki +2 and launches an additional Super Attack when all allies attacking in the same turn are ""Dragon Ball Heroes"" Category characters Attacked enemy's ATK & DEF -30% for 2 turns Plus an additional ATK +100% and great chance of performing a critical hit when the attacked enemy is in ""ATK Down"" or ""DEF Down"" status",,"Greatly raises DEF, greatly raises ATK for 1 turn and causes supreme damage to enemy",,"Android Assault, Demonic Power, Berserker, Tough as Nails, Nightmare, Fear and Faith, Shattering the Limit","Androids, Artificial Life Forms, Demonic Power, Resurrected Warriors, Time Travelers, Revenge, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,530%
Base,Dark Masked King,Warrior Shrouded in Darkness,"HP 15,367 18,367 | ATK 14,099 17,099 | DEF 7,987 10,987","15,367","18,367","14,099","17,099","7,987","10,987","""Dragon Ball Heroes"" Category or Extreme INT Type Ki +3 and HP, ATK & DEF +130%","Dark Mask's Ominous Aura Ki +2 and ATK & DEF +150% Plus an additional DEF +150% for 5 turns after receiving an attack Plus an additional ATK +50% with each attack received (up to 150%) Plus an additional DEF +100% and guards all attacks when there is another ""Dragon Ball Heroes"" Category ally attacking in the same turn Recovers 10% of damage dealt as HP",,"Raises DEF for 1 turn, causes immense damage to enemy and greatly lowers ATK & DEF",,"The Saiyan Lineage, Saiyan Warrior Race, Royal Lineage, Loyalty, Berserker, Prepared for Battle, Shattering the Limit","Pure Saiyans, Vegeta's Family, Corroded Body and Mind, Time Travelers, Storied Figures, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,630%
Base,Black Masked Saiyan,Power-Up Through the Mask,"HP 13,170 15,770 | ATK 14,594 17,594 | DEF 8,469 11,869","13,170","15,770","14,594","17,594","8,469","11,869","""Dragon Ball Heroes"" Category or Extreme AGL Type Ki +3 and HP, ATK & DEF +130%","Black Masked Destroyer Ki +3 and ATK & DEF +160% when attacking Plus an additional ATK & DEF +120%, launches an additional attack that has a high chance of becoming a Super Attack and high chance of performing a critical hit when there are another 3 or more ""Crossover"" Category allies on the team Performs a critical hit when there is an enemy whose name includes ""Goku"" (Captain Ginyu, Jr., etc. excluded)",,"Raises ATK & DEF for 1 turn, causes immense damage to enemy and lowers ATK & DEF",,"The Saiyan Lineage, Saiyan Warrior Race, Royal Lineage, Prodigies, Berserker, Prepared for Battle, Shattering the Limit","Pure Saiyans, Vegeta's Family, Corroded Body and Mind, Gifted Warriors, Time Travelers, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,630%
Base,Demigra (Makyouka Form),True Power of a Demon God,"HP 14,131 17,531 | ATK 14,375 17,375 | DEF 8,262 10,862","14,131","17,531","14,375","17,375","8,262","10,862","""Dragon Ball Heroes"" Category or Extreme PHY Type Ki +3 and HP, ATK & DEF +130%","Dark Magical Powers ATK & DEF +140% Plus an additional ATK & DEF +70% when performing a Super Attack Extreme Class allies' Ki +4 and DEF +40% All enemies' ATK & DEF -30% Plus an additional ATK +20% per ""Crossover"" Category ally on the team Plus an additional DEF +10% per Extreme Class ally on the team",,Greatly raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Master of Magic, Demonic Power, Brainiacs, Revival, Fear and Faith, Godly Power, Shattering the Limit","Realm of Gods, Demonic Power, Resurrected Warriors, Time Travelers, Storied Figures, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,530%
Base,Super Saiyan 4 Broly,Brutal Berserker,"HP 20,670 23,270 | ATK 17,324 20,724 | DEF 9,825 12,825","20,670","23,270","17,324","20,724","9,825","12,825","""Giant Ape Power"" Category Ki +3 and HP, ATK & DEF +150%","Demon on the Loose ATK & DEF +150% when performing a Super Attack Ki +2 and launches an additional attack that has a high chance of becoming a Super Attack when there is another ""Giant Ape Power"" Category ally attacking in the same turn Launches an additional Super Attack when all allies attacking in the same turn are ""Giant Ape Power"" Category characters Plus an additional ATK & DEF +30% with each Super Attack performed (up to 150%)",,"Greatly raises ATK and raises DEF for 1 turn, causes immense damage to enemy and greatly lowers DEF",,"Saiyan Warrior Race, Super Saiyan, Nightmare, Brutal Beatdown, Prepared for Battle, Saiyan Roar, Fierce Battle","Pure Saiyans, Power Beyond Super Saiyan, Giant Ape Power, Uncontrollable Power, Time Travelers, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",145%,630%
Base,Super Saiyan 4 Vegito (Xeno),All-Piercing Fusion Power,"HP 20,475 23,875 | ATK 18,489 21,489 | DEF 8,466 11,066","20,475","23,875","18,489","21,489","8,466","11,066","""Crossover"" Category Ki +3 and HP, ATK & DEF +180%","Strongest Countermeasure ATK & DEF +180% Plus an additional ATK & DEF +60% when performing a Super Attack ""Crossover"" Category allies' Ki +1 and ATK & DEF +30% ""Giant Ape Power"" Category allies' Ki +1 and ATK & DEF +30% Reduces damage received by 5% per ""Crossover"" or ""Giant Ape Power"" Category ally on the team (depending on which Category has more members) High chance of nullifying enemy's Super Attack and countering with tremendous power Animations: Counter",,Greatly raises DEF for 1 turn and causes immense damage to enemy,,"Super Saiyan, Kamehameha, Fused Fighter, Power Bestowed by God, Prepared for Battle, Saiyan Roar, Fierce Battle","Power Beyond Super Saiyan, Potara, Fused Fighters, Kamehameha, Giant Ape Power, Time Limit, Final Trump Card, Time Travelers, Defenders of Justice, Battle of Wits, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,630%
Base,Demon Goddess Towa,Ingenious Scientist's Sorcery,"HP 17,680 20,680 | ATK 12,891 15,891 | DEF 8,707 11,707","17,680","20,680","12,891","15,891","8,707","11,707","""Dragon Ball Heroes"" Category Ki +4 and HP, ATK & DEF +150%",Destructive Sorcery ATK & DEF +180% All allies' Ki +3 and ATK & DEF +40% High chance of an additional ATK +10% for all allies High chance of an additional DEF +10% for all allies High chance of evading enemy's attack (including Super Attack) when HP is 50% or more Extreme Class allies' ATK & DEF +60% and recovers 50% HP when HP is 50% or less (once only) Plus an additional ATK & DEF +40% (up to 120%) with each attack evaded (including Super Attack),,"Raises ATK for 1 turn, causes immense damage to enemy, lowers ATK and seals Super Attack",,"Demonic Power, Solid Support, Battlefield Diva, Master of Magic, Thirst for Conquest, Scientist, Shattering the Limit","Peppy Gals, Demonic Power, Siblings' Bond, Time Travelers, Dragon Ball Seekers, Terrifying Conquerors, Battle of Wits, Crossover, Dragon Ball Heroes",[],"Nov 22, 2023",140%,630%
Base,Beerus,Hot-Blooded God of Destruction,"HP 17,353 20,753 | ATK 18,083 21,083 | DEF 10,496 13,096","17,353","20,753","18,083","21,083","10,496","13,096","""Exploding Rage"" or ""Realm of Gods"" Category Ki +3 and HP, ATK & DEF +170%","God-on-God Showdown ATK +50% and DEF +200% Plus an additional ATK +150% when performing a Super Attack Reduces damage received by 40% with 3 or more Ki Spheres obtained Plus an additional damage reduction of 30% before attacking with 7 or more Ki Spheres obtained Plus an additional ATK & DEF +150% within the same turn after receiving an attack Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres and attacks effective against all Types when there is a ""Realm of Gods"" Category enemy","Active Skill Wrath Condition: Can be activated when HP is 70% or less starting from the 4th turn from the start of battle (once only) ATK & DEF +50%, attacks effective against all Types and guaranteed to hit for 1 turn Animation: Play","Raises ATK, causes immense damage to enemy and greatly lowers ATK & DEF",,"Godly Power, Prodigies, Connoisseur, The Innocents, Shocking Speed, Berserker, Fierce Battle","Realm of Gods, Worthy Rivals, Siblings' Bond, Bond of Master and Disciple, Movie Bosses, Space-Traveling Warriors, Legendary Existence, Planetary Destruction, Exploding Rage, Battle of Fate",[],"Nov 10, 2023",150%,475%
Base,Super Saiyan 4 Goku,Greatest Evolution of Power,"HP 24,425 27,425 | ATK 14,725 17,725 | DEF 12,506 15,506","24,425","27,425","14,725","17,725","12,506","15,506","""GT Heroes"" or ""Full Power"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Pure Saiyans"" or Hybrid Saiyans Category",Miraculous Saiyan Fighter at His Peak Ki +3 and ATK & DEF +150% Plus an additional Ki +1 per Ki Sphere obtained Plus an additional ATK +70% when performing a Super Attack and high chance of performing a critical hit if it is an Ultra Super Attack Plus an additional ATK +70% within the same turn and an additional DEF +70% for 3 turns after receiving or evading an attack (including Super Attack) Reduces damage received by 20% Plus an additional DEF +70% and an additional damage reduction of 20% as the 1st attacker in a turn,,"Raises DEF for 1 turn, causes colossal damage to enemy and greatly lowers ATK",Raises DEF for 4 turns and causes mega-colossal damage to enemy,"Super Saiyan, Shocking Speed, GT, Prepared for Battle, Saiyan Roar, Fierce Battle, Legendary Power","Pure Saiyans, Goku's Family, Power Beyond Super Saiyan, Transformation Boost, Kamehameha, Full Power, Giant Ape Power, Power of Wishes, Miraculous Awakening, Bond of Parent and Child, Bond of Friendship, GT Heroes, Turtle School, Earth-Bred Fighters, Connected Hope, Entrusted Will, All-Out Struggle, Accelerated Battle, Battle of Fate",Can be activated after the character receives an attack 5 or more times in battle (once only),"Nov 3, 2023",200%,570%
Transformation,Super Saiyan 4 Goku & Majuub,Greatest Evolution of Power,"HP 24,425 27,425 | ATK 14,725 17,725 | DEF 12,506 15,506","24,425","27,425","14,725","17,725","12,506","15,506","""GT Heroes"" or ""Full Power"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Pure Saiyans"" or Hybrid Saiyans Category",Uub's Resolve Unable to attack DEF +300% Reduces damage received by 10% per Type Ki Sphere obtained and guards all attacks with 3 or more Type Ki Spheres obtained for 1 turn from the character's entry turn All allies' Ki +3 and DEF +70% for 2 turns from the character's entry turn Randomly changes Ki Spheres of a certain Type (INT excluded) to INT Ki Spheres Nullifies Unarmed Super Attacks directed at the character Animations: Nullify,,,,"Solid Support, Shocking Speed, Tough as Nails, GT, Fused Fighter, Fierce Battle, Legendary Power","Pure Saiyans, Goku's Family, Power Beyond Super Saiyan, Transformation Boost, Kamehameha, Full Power, Giant Ape Power, Power of Wishes, Miraculous Awakening, Bond of Parent and Child, Bond of Friendship, GT Heroes, Turtle School, Earth-Bred Fighters, Connected Hope, Entrusted Will, All-Out Struggle, Accelerated Battle, Battle of Fate",Can be activated when charge count is 30 or more (once only),"Nov 3, 2023",200%,
Transformation,Super Full Power Saiyan 4 Goku,Greatest Evolution of Power,"HP 24,425 27,425 | ATK 14,725 17,725 | DEF 12,506 15,506","24,425","27,425","14,725","17,725","12,506","15,506","""GT Heroes"" or ""Full Power"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Pure Saiyans"" or Hybrid Saiyans Category",Unadulterated Full Power Recovers 77% HP (once only) Guards all attacks for 1 turn from the character's entry turn and performs a critical hit for 3 turns from the character's entry turn Ki +7 and ATK & DEF +200% Plus an additional Ki +2 per INT or Rainbow Ki Sphere obtained and an additional Ki +1 per Type Ki Sphere obtained (INT excluded) Plus an additional ATK +150% when performing a Super Attack and great chance of performing a critical hit if it is an Ultra Super Attack Plus an additional ATK +59% and performs a critical hit when Ki is 24 Plus an additional DEF +77% for 5 turns after receiving or evading an attack (including Super Attack) Reduces damage received by 25% Plus an additional DEF +77% and an additional damage reduction of 25% as the 1st attacker in a turn,,"Raises ATK & DEF for 1 turn, causes colossal damage to enemy and greatly lowers ATK","Greatly raises ATK for 1 turn, raises DEF for 4 turns and causes mega-colossal damage to enemy","Super Saiyan, Shocking Speed, GT, Prepared for Battle, Saiyan Roar, Fierce Battle, Legendary Power","Pure Saiyans, Goku's Family, Power Beyond Super Saiyan, Transformation Boost, Kamehameha, Full Power, Giant Ape Power, Power of Wishes, Miraculous Awakening, Bond of Parent and Child, Bond of Friendship, GT Heroes, Turtle School, Earth-Bred Fighters, Connected Hope, Entrusted Will, All-Out Struggle, Accelerated Battle, Battle of Fate",,"Nov 3, 2023",200%,425%
Base,Baby,Fiendish Intellect and Strength,"HP 11,886 14,486 | ATK 9,606 13,006 | DEF 8,322 11,322","11,886","14,486","9,606","13,006","8,322","11,322","""Revenge"" or ""Inhuman Deeds"" Category Ki +3 and HP, ATK & DEF +130%","King Tuffle's Grudge Ki +3 and ATK & DEF +150% Plus an additional ATK & DEF +100% when performing a Super Attack Plus an additional DEF +100%, attacks guaranteed to hit, performs a critical hit and stuns the attacked enemy when there is a ""Pure Saiyans"" or ""Hybrid Saiyans"" Category enemy Plus an additional Ki +3 and ATK +180% when there is a ""Pure Saiyans"" Category enemy Plus an additional Ki +3 and ATK +180% when there is a ""Hybrid Saiyans"" Category enemy",,Greatly raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Metamorphosis, Coward, Big Bad Bosses, Thirst for Conquest, GT, Hatred of Saiyans, Fierce Battle","Artificial Life Forms, Transformation Boost, GT Bosses, Space-Traveling Warriors, Revenge, Target: Goku, Terrifying Conquerors, Inhuman Deeds",[],"Nov 3, 2023",135%,430%
Base,Dabura (Angel),Meaning of Life Found in Heaven,"HP 10,958 12,998 | ATK 10,802 12,602 | DEF 8,131 9,691","10,958","12,998","10,802","12,602","8,131","9,691","""Otherworld Warriors"" Category Ki +3 and HP, ATK & DEF +77%; or PHY Type Ki +3 and HP, ATK & DEF +50%","Beauty and Magnificence of Love ATK & DEF +104% Plus an additional ATK & DEF +10% and chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +4% per Super Class ally on the team Plus an additional chance of performing a critical hit +10% and chance of evading enemy's attack (including Super Attack) +4% per ""Otherworld Warriors"" Category ally attacking in the same turn Super Class allies' Ki +4 and ATK & DEF +40% Plus an additional ATK & DEF +104% when the target enemy is in ""ATK Down"" or ""DEF Down"" status Recovers 10% HP at the end of turn and if there is another ""Otherworld Warriors"" Category ally attacking in the same turn, recovers an additional 4% HP at the end of turn Recovers HP with sweet treats",,Raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"More Than Meets the Eye, Gentleman, Master of Magic, Otherworld Warriors, Solid Support, The Innocents, Shattering the Limit","Majin Buu Saga, Demonic Power, Siblings' Bond, Otherworld Warriors",[],"Oct 26, 2023",140%,530%
Base,Mamba,True Nature of the Beautiful Demon,"HP 12,810 15,410 | ATK 8,667 11,667 | DEF 7,609 11,009","12,810","15,410","8,667","11,667","7,609","11,009","""Peppy Gals"" Category or Extreme AGL Type Ki +3 and HP, ATK & DEF +120%","Mamba's Treat Ki +2 and ATK & DEF +150% Plus an additional DEF +100% when performing a Super Attack Plus an additional ATK +500%, performs a critical hit and disables the attacked enemy's action once within the turn when performing a Super Attack if the target enemy is in ""ATK Down"" status, in ""DEF Down"" status, stunned or the target enemy's Super Attack is sealed All allies' ATK +40% and high chance of all enemies' ATK -20% when there are another 4 or more ""Peppy Gals"" Category allies on the team or when there is a STR Type enemy",,"Greatly raises DEF for 4 turns, causes supreme damage to enemy and lowers ATK",,"Flee, Coward, Battlefield Diva, GT, Metamorphosis, More Than Meets the Eye, Shattering the Limit","Earthlings, Peppy Gals, Battle of Wits",[],"Oct 23, 2023",130%,430%
